Major,Residency ,Num_Credits,Dominant_hand,Hand_Span,GripStrength_DomHand,GripStrength_NonDomHand
Business marketing ,Out of state,15,right,18,62,66
Finance,Out of State,15,right,21cm,108.6,94.8
CET,In-state,14,right,22,91.8,91.4
Computer Science,In state,16,left,9.5 inches,137.4,90.3
Business Finance,In-state,15,right,21cm,105,96.2
Conservation Biology,Out of State,15,right,19.7 centimeters ,57.4,54.2
Business marketing ,Out of state,16,right,21,77,78
Finance/ accounting ,Out of state,15,right,20 cm,104.2,64.2
Marketing,In state ,15,right,20cm,113.8,116.6
Business Accounting,in-state,15,right,15.5 cm,31.4,31
Community health,in state ,16,right,18 cm,42.6,36.8
History,In-state,16,right,23 1/2 cm,85 lbs,67 lbs
Business management ,In state ,12,right,22,88.4,88.4
Business management ,Out of state ,18,right,19,100,90.6
Business Management and Aviation Science ,In State,12,right,20.5 cm,38.8,44.4
Sociology ,In state ,15,right,16cm ,36,30
Business Finance ,In-State,15,left,20.5,83.4,82
Nursing ,In-State ,16,right,20cm ,89.2 Lbs ,64.8 Lbs 
Pre med,Out of state,15,left,17.5,78.6,74.2
Fish and Wildlife Management ,In-state,11,right,22 cm,105 lbs,98.5 lbs
Kinesiology ,out-of-state,14,right,16.5 cm,13.4,12.3
conservation_biology,out_state,14,left,22.5,87.4,89.2
Nursing ,In-State ,16,right,20cm ,89.2 Lbs ,64.8 Lbs 
Finance,Out of state,15,right,22,68.4,64
Construction Engineering Technology,In-state,17,right,22 cm,N/A (I currently have a broken right wrist),70.6 lbs
Undecided ,Out-state ,18,right,16cm ,15.6,12.4
Political science ,In state ,15,left,20cm ,47.8,43.4
Psychology on the pre med track ,Out-of-state,16,right,16.5 cm,43.4,38
Kinesiology ,Out of state,16,right,20cm,79.2,82.2
Political Science,out of state,16,right,17.5,36 lbs,36.5 lbs
Fish and Wildlife Management ,Out of state ,13,right,25 cm,109 lbs ,114 lbs 
Accounting ,In state ,15,right,22,105.8,104
Buisness Finance,Out of state,19,right,20.3 cm,76.6 lbs,84.0 lbs
nursing ,out_state,18,right,18.5,25,25.8
Biology ,In state,15,right,8 inches ,42.6 lbs,30.6 lbs
Microbiology ,Working on residency for in-state ,16,right,17,62.2,56.8
Nursing ,In state ,16,right,7.5 inches,31.4,32.6
