Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Total No of Comments,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness_Thumbnail,Trustworthiness_Video,Does the Video Require Subject Matter Expertise from an Expert ?,Creator_SME,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
Gaurav,https://www.youtube.com/watch?v=BGA7Ee4jS2w,iPhone 14 Pro Max Unboxing & First Look - The Dynamic Island Magic,0:08:56,Hindi,Entertainment,235000,196000,19653,22400000,14-09-2022,19-10-2015,Entertainment,India,"3,107,415,994",7,7,NO,No,Not Trustable,Manya Tyagi
Flying Beast,https://www.youtube.com/watch?v=BD1o6sFDr0Y,Moving to a New City in USA,0:08:00,Hindi,Entertainment,1212784,57000,1302,7690000,21-09-2022,1/12/2017,Entertainment,India,"3,172,759,281",7,7,NO,No,Trustable,Manya Tyagi
Green Gold TV,https://www.youtube.com/watch?v=k6pTulbKhcw,Chhota Bheem - Adla Badli,0:10:21,Hindi,Entertainment,49180656,315000,0,18700000,22-06-2020,1/7/2011,Entertainment,India,"9,094,477,174",9,9,NO,No,Trustable,Manya Tyagi
Harsh Beniwal,https://www.youtube.com/watch?v=3xtntVX3uCM,School PTM,0:14:21,Hindi,Entertainment,36470368,1600000,40241,15000000,13-01-2019,6/5/2015,Entertainment,India,"1,672,855,100",9,9,NO,No,Trustable,Manya Tyagi
Kunal k vlogs,https://www.youtube.com/watch?v=FYqd567qgno,Manali Tourist Places & Manali Tour Budget | A-Z Plan | Manali Travel Guide | Himachal Pradesh,0:26:14,Hindi,Entertainment,262782,6800,777,24400,14-06-2022,27-04-2021,Entertainment,India,"4,306,222",7,7,NO,No,Not Trustable,Manya Tyagi
Samay Raina,https://www.youtube.com/watch?v=KKnhgkmV7k8,PRINTING ENGINEERING | Standup Comedy by Samay Raina,0:01:10,Hindi,Entertainment,1920837,154000,2795,1020000,11/9/2022,23-09-2013,Entertainment,India,"287,647,535",7,7,No,No,Not Trustable,Manya Tyagi
World Of Hemant,https://www.youtube.com/watch?v=7CgXm2ZveHs,Byjus | Difference Inside vs Direct vs Centre Sale | BDA sale department 2022 #bda #byjus,0:02:57,Hindi,Entertainment,714,13,15,34,4/9/2022,22-05-2022,Entertainment,India,"19,181",7,7,No,No,Not Trustable,Manya Tyagi
Ishan Llb,https://www.youtube.com/watch?v=e8vL7BA_rFU,"Formula of Sum, Percentage, If Function, Merge & Center MS Excel 2007 Tutorial in Hindi",0:09:34,Hindi,Entertainment,14930045,161000,1486,5200000,18-01-2017,8/11/2016,Entertainment,India,"496,901,956",8,8,No,No,Trustable,Manya Tyagi
Entertainment Live,https://www.youtube.com/watch?v=Mf75YbFN2Sk,"Vilen ?? ?? ???? Kaare Hathiyar ?? ???? ???? ?? ?????, ???? ?? ??? ?? Vilen ???? ?? ???? | ENT LIVE",0:13:50,Hindi,Entertainment,61060,1800,60,15600,5/8/2022,10/5/2022,Entertainment,India,"2,739,511",6,6,No,No,Not Trustable,Manya Tyagi
Arun Prabhudesai,https://www.youtube.com/watch?v=w15pCPU2-cA,Nothing Phone (1) Indian Retail Unit Unboxing & First Impressions?A Breath of Fresh Air,0:13:25,Hindi,Entertainment,7547010,291841,18000,12300000,12/7/2022,2/9/2011,Entertainment,India,"1,877,848,720",9,9,No,No,Trustable,Manya Tyagi
Tanmay Singh,https://www.youtube.com/watch?v=MFbePoexzmg,Finally got the M416 GLACIER after 2 Years of Struggle with Classic Crates | sc0ut,0:10:00,Hindi,Entertainment,10452896,803068,16000,4510000,19-08-2020,26-08-2018,Entertainment,India,"545,130,461",8,8,No,No,Trustable,Manya Tyagi
Sahil Jakhar,https://www.youtube.com/watch?v=4_ShUZ38hbI,Why R u Running ?? @7seaSPRAYGOD ??,0:29:00,Hindi,Entertainment,9651,37000,274,249000,22-08-2021,4/6/2019,Entertainment,India,"25,563,846",7,7,No,No,Trustable,Manya Tyagi
Aakash Gupta,https://www.youtube.com/watch?v=KBZfnt80s54,Sarojini Nagar | Excuse Me Brother | Stand-Up Comedy by Aakash Gupta,0:10:30,Hindi,Entertainment,28693574,1400000,23000,3360000,25-02-2021,13-09-2016,Entertainment,India,"268,844,951",8,8,No,No,Trustable,Manya Tyagi
Abhishek Upmanyu,https://www.youtube.com/watch?v=c7QYEedjb_o,"ABHISHEK UPMANYU |Friends, Crime, & The Cosmos | Stand-Up Comedy by Abhishek Upmanyu
",0:15:01,Hindi,Entertainment,51928027,1500000,27000,4130000,8/5/2019,21-12-2006,Entertainment,India,"329,178,424",8,8,No,No,Trustable,Manya Tyagi
Adarsh Singh,https://www.youtube.com/watch?v=8jyk-fT7alE,TRUE Love Found on OMEGLE ??,0:07:47,Hindi,Entertainment,9142123,684000,10000,1950000,23-03-2022,1/3/2016,Entertainment,India,"128,933,710",7,7,No,No,Trustable,Manya Tyagi
Akshat Shrivastava,https://www.youtube.com/watch?v=ivSUWKG925k,"Kam ????? mai ek ???? PORTFOLIO kaise banayein? | Akshat Shrivastava Hindi
",0:17:04,Hindi,Entertainment,726946,29000,1500,85700,3/6/2022,30-05-2022,Entertainment,India,"2,744,251",7,7,No,No,Trustable,Manya Tyagi
An Open Letter 001,https://www.youtube.com/watch?v=ymjQSW4GtQA,"Is HOMEOPATHY a SCAM?
",0:11:06,Hindi,Entertainment,991216,38000,4200,380000,16-07-2022,9/1/2018,Entertainment,India,"25,645,698",8,8,No,No,Trustable,Manya Tyagi
Anubhav Bassi,https://www.youtube.com/watch?v=wQA68Oqr1qE,Cheating - Stand Up Comedy ft. Anubhav Singh Bassi,0:22:44,Hindi,Entertainment,71237976,2400000,54000,3720000,16-04-2021,22-06-2016,Entertainment,India,"229,379,727",8,8,No,No,Trustable,Manya Tyagi
Anuj N,https://www.youtube.com/watch?v=KWJaBJYJIjI,Driving Mumbai - SoBo (Downtown) [2018],0:13:52,Hindi,Entertainment,1392665,19000,3000,39200,21-01-2018,26-05-2010,Entertainment,India,"13,008,506",7,7,No,No,Trustable,Manya Tyagi
Asset Yogi,https://www.youtube.com/watch?v=cXjbB9TuQeo,"Zerodha Kite Trading Tutorial with Buy, Sell Process | Zerodha App ???? Use ?????| Intraday, GTT
",0:23:40,Hindi,Entertainment,109478,188000,6100,3390000,15-02-2020,11/7/2017,Entertainment,India,"199,745,416",6,6,No,No,Trustable,Manya Tyagi
Beyounick,https://www.youtube.com/watch?v=6DSrh02KxEs,"BYN : We All Have That One Friend Feat. Ashish Chanchlani
",0:03:38,Hindi,Entertainment,17901602,670000,6500,4550000,27-09-2017,26-07-2014,Entertainment,India,"842,626,529",6,6,No,No,Trustable,Manya Tyagi
BeerBiceps,https://www.youtube.com/watch?v=7W9X6b8THp8,"?CarryMinati's REAL LIFE Story | The Ranveer Show
",0:13:00,Hindi,Entertainment,9415346,505000,8600,4310000,8/3/2019,21-12-2014,Entertainment,India,"381,574,545",7,7,No,No,Trustable,Manya Tyagi
Bekifaayati,https://www.youtube.com/watch?v=ZfjOJiwaTTo,"5 Insanely EASY Ways To Make Money Online [Zero Investment] | Part Time Jobs For Students
",0:06:58,Hindi,Entertainment,7890645,69000,986,1000000,21-10-2021,11/2/2018,Entertainment,India,"195,720,199",7,7,No,No,Trustable,Manya Tyagi
Campus X,https://www.youtube.com/watch?v=1xtrIEwY_zY,"Movie Recommender System Project | Content Based Recommender System with Heroku Deployment
",2:17:41,Hindi,Entertainment,321045,6100,487,40000,7/7/2021,9/2/2020,Entertainment,India,"3,229,810",6,6,No,No,Trustable,Manya Tyagi
